world_index,ellipse,marker_type
966,"(561.5916137695312, 372.12799072265625)",Ref
967,"(561.281005859375, 375.1884460449219)",Ref
968,"(561.140869140625, 378.179931640625)",Ref
969,"(561.462890625, 381.0705261230469)",Ref
970,"(561.652099609375, 384.7906799316406)",Ref
971,"(561.8807373046875, 387.8807373046875)",Ref
972,"(561.902587890625, 390.98052978515625)",Ref
973,"(562.0, 394.5)",Ref
974,"(561.9384155273438, 397.8415832519531)",Ref
975,"(561.9325561523438, 400.6604919433594)",Ref
976,"(561.8848876953125, 402.48138427734375)",Ref
977,"(561.9805297851562, 406.9025573730469)",Ref
978,"(562.3814697265625, 410.0)",Ref
979,"(562.8519897460938, 412.5)",Ref
980,"(562.8970336914062, 415.76165771484375)",Ref
981,"(562.8416137695312, 418.9383850097656)",Ref
982,"(562.3743896484375, 421.80767822265625)",Ref
983,"(562.0674438476562, 424.3395080566406)",Ref
984,"(561.88623046875, 427.1855163574219)",Ref
985,"(561.75927734375, 430.0725402832031)",Ref
986,"(561.3814697265625, 433.0)",Ref
987,"(561.1990356445312, 435.84063720703125)",Ref
988,"(561.12109375, 438.321533203125)",Ref
989,"(561.0, 441.1099853515625)",Ref
990,"(561.1406860351562, 444.0393981933594)",Ref
991,"(561.6185302734375, 447.0)",Ref
992,"(561.8502807617188, 450.3212585449219)",Ref
993,"(562.05419921875, 453.83306884765625)",Ref
994,"(562.2481079101562, 457.09368896484375)",Ref
995,"(562.0525512695312, 460.28021240234375)",Ref
996,"(562.0, 463.6785888671875)",Ref
997,"(561.9384155273438, 466.8415832519531)",Ref
998,"(562.0, 470.203125)",Ref
999,"(562.05419921875, 473.16693115234375)",Ref
1000,"(562.1192626953125, 477.1192626953125)",Ref
1001,"(562.1669311523438, 480.9457702636719)",Ref
1002,"(562.1406860351562, 484.0393981933594)",Ref
1003,"(561.796875, 487.0)",Ref
1004,"(561.796875, 490.0)",Ref
1005,"(562.1185913085938, 493.32666015625)",Ref
1006,"(562.1357421875, 496.5704345703125)",Ref
1007,"(562.1713256835938, 499.5810241699219)",Ref
1008,"(562.2845458984375, 502.95941162109375)",Ref
1027,"(559.8953247070312, 243.89532470703125)",Ref
1029,"(559.8946533203125, 253.90020751953125)",Ref
1030,"(559.8953247070312, 259.10467529296875)",Ref
1031,"(559.761474609375, 263.8482971191406)",Ref
1032,"(560.1583862304688, 269.9383850097656)",Ref
1034,"(560.5927734375, 279.93988037109375)",Ref
1035,"(560.6223754882812, 285.0429382324219)",Ref
1036,"(560.5230102539062, 289.64166259765625)",Ref
1037,"(560.1809692382812, 295.6000061035156)",Ref
1039,"(560.6006469726562, 305.63897705078125)",Ref
1040,"(560.2545776367188, 310.5772399902344)",Ref
1041,"(560.212890625, 315.7591552734375)",Ref
1042,"(560.6185302734375, 321.0)",Ref
1043,"(561.1124267578125, 324.5393371582031)",Ref
1044,"(561.281005859375, 330.8115539550781)",Ref
1045,"(561.35107421875, 333.9052429199219)",Ref
1046,"(561.2845458984375, 341.04058837890625)",Ref
1047,"(561.0, 345.8179626464844)",Ref
1048,"(560.8516235351562, 349.8161926269531)",Ref
1049,"(561.120361328125, 355.58538818359375)",Ref
1051,"(561.462890625, 365.0705261230469)",Ref
1052,"(561.5230102539062, 369.64166259765625)",Ref
1053,"(561.6322021484375, 373.74835205078125)",Ref
1054,"(561.9384155273438, 379.1584167480469)",Ref
1055,"(562.1583862304688, 383.9383850097656)",Ref
1056,"(562.3118286132812, 388.5580749511719)",Ref
1057,"(562.4178466796875, 393.4178771972656)",Ref
1058,"(562.5775146484375, 397.8412780761719)",Ref
1059,"(562.203125, 403.5521545410156)",Ref
1060,"(562.2260131835938, 408.22601318359375)",Ref
1061,"(562.2870483398438, 412.82843017578125)",Ref
1062,"(562.1884765625, 417.281005859375)",Ref
1063,"(562.3663330078125, 422.263916015625)",Ref
1064,"(562.058349609375, 427.07220458984375)",Ref
1066,"(562.9325561523438, 436.6604919433594)",Ref
1067,"(562.8539428710938, 441.6807556152344)",Ref
1068,"(562.820068359375, 446.859130859375)",Ref
1069,"(562.44921875, 451.89288330078125)",Ref
1070,"(562.1990356445312, 456.84063720703125)",Ref
1071,"(562.2108154296875, 461.56024169921875)",Ref
1072,"(562.2406616210938, 466.7593078613281)",Ref
1073,"(562.2199096679688, 471.2856140136719)",Ref
1074,"(562.203125, 476.0)",Ref
1075,"(562.3722534179688, 480.4460144042969)",Ref
1076,"(562.8807373046875, 485.1192626953125)",Ref
1077,"(562.94580078125, 490.16693115234375)",Ref
1078,"(563.0, 495.3214111328125)",Ref
1079,"(563.032958984375, 500.50384521484375)",Ref
1080,"(563.0, 505.796875)",Ref
1081,"(563.0794067382812, 511.063232421875)",Ref
1082,"(563.0, 516.0)",Ref
1083,"(563.0244140625, 520.3251953125)",Ref
1084,"(562.97509765625, 524.4180297851562)",Ref
1085,"(563.0, 529.1261596679688)",Ref
1086,"(563.1669311523438, 534.05419921875)",Ref
1094,"(560.438720703125, 253.083251953125)",Ref
1095,"(560.7593383789062, 259.2406921386719)",Ref
1097,"(560.7154541015625, 271.95941162109375)",Ref
1099,"(560.923828125, 284.0)",Ref
1100,"(561.0615844726562, 289.8415832519531)",Ref
1101,"(561.0, 295.8351745605469)",Ref
1102,"(561.0, 301.203125)",Ref
1104,"(561.12109375, 313.321533203125)",Ref
1105,"(561.140869140625, 319.820068359375)",Ref
1106,"(561.4746704101562, 325.70916748046875)",Ref
1107,"(561.3814697265625, 331.0)",Ref
1109,"(561.4851684570312, 342.3856201171875)",Ref
1110,"(561.820068359375, 347.859130859375)",Ref
1111,"(562.4739990234375, 353.4188232421875)",Ref
1112,"(562.7569580078125, 359.0258483886719)",Ref
1114,"(562.4224853515625, 370.9265441894531)",Ref
1115,"(562.0615844726562, 376.8415832519531)",Ref
1116,"(562.1874389648438, 382.8559875488281)",Ref
1117,"(562.203125, 388.4478454589844)",Ref
1118,"(562.4559326171875, 394.64019775390625)",Ref
1119,"(562.293212890625, 399.5429992675781)",Ref
1120,"(562.4961547851562, 405.0329895019531)",Ref
1121,"(562.652099609375, 410.7906799316406)",Ref
1122,"(562.9384155273438, 416.1584167480469)",Ref
1123,"(563.0433959960938, 422.61126708984375)",Ref
1124,"(563.1583862304688, 427.9383850097656)",Ref
1125,"(563.5045776367188, 433.85504150390625)",Ref
1126,"(563.7129516601562, 439.82843017578125)",Ref
1127,"(563.8221435546875, 445.1446838378906)",Ref
1128,"(563.5, 446.5)",Ref
1129,"(563.638916015625, 456.0057067871094)",Ref
1130,"(563.8807373046875, 461.1192626953125)",Ref
1131,"(563.9384155273438, 467.1584167480469)",Ref
1132,"(564.203125, 473.0)",Ref
1133,"(564.7154541015625, 478.95941162109375)",Ref
1134,"(564.8749389648438, 485.1069030761719)",Ref
1135,"(564.7926635742188, 491.125732421875)",Ref
1136,"(564.5, 497.0)",Ref
1137,"(564.1778564453125, 502.8553161621094)",Ref
1138,"(564.2169799804688, 508.46893310546875)",Ref
1139,"(564.5, 513.9444580078125)",Ref
1140,"(564.6244506835938, 519.99072265625)",Ref
1141,"(564.6785888671875, 525.0)",Ref
1142,"(564.6256713867188, 530.0785522460938)",Ref
1150,"(302.6174621582031, 391.6012878417969)",Ref
1151,"(308.0370788574219, 392.1932067871094)",Ref
1152,"(313.40838623046875, 392.87200927734375)",Ref
1153,"(319.209228515625, 393.2284240722656)",Ref
1154,"(324.5149230957031, 393.4001159667969)",Ref
1155,"(330.347900390625, 393.7906799316406)",Ref
1156,"(335.40838623046875, 394.12799072265625)",Ref
1157,"(340.26068115234375, 394.56201171875)",Ref
1159,"(351.1492919921875, 394.5049133300781)",Ref
1160,"(357.02490234375, 394.5819396972656)",Ref
1161,"(362.0705261230469, 394.4628601074219)",Ref
1162,"(367.82763671875, 394.07952880859375)",Ref
1163,"(371.9437255859375, 394.2484436035156)",Ref
1164,"(378.4055480957031, 393.6911315917969)",Ref
1165,"(383.9457702636719, 393.83306884765625)",Ref
1166,"(388.95501708984375, 393.54461669921875)",Ref
1167,"(395.0, 393.796875)",Ref
1169,"(405.8363037109375, 394.1593017578125)",Ref
1170,"(410.8807373046875, 394.1192626953125)",Ref
1171,"(416.541015625, 393.74945068359375)",Ref
1172,"(421.8539123535156, 393.6807556152344)",Ref
1174,"(433.02142333984375, 392.89068603515625)",Ref
1175,"(439.0, 392.5)",Ref
1176,"(444.9336242675781, 392.5)",Ref
1177,"(450.0, 392.6785888671875)",Ref
1178,"(454.0, 393.0)",Ref
1179,"(460.27545166015625, 392.5807189941406)",Ref
1180,"(465.960205078125, 392.627685546875)",Ref
1181,"(471.5915832519531, 392.8006286621094)",Ref
1182,"(477.16693115234375, 392.9457702636719)",Ref
1184,"(487.8970642089844, 392.23834228515625)",Ref
1185,"(493.9294738769531, 392.4551086425781)",Ref
1186,"(499.44403076171875, 392.4554138183594)",Ref
1187,"(504.95941162109375, 392.2845153808594)",Ref
1188,"(506.1820068359375, 392.56158447265625)",Ref
1189,"(514.0938110351562, 392.64434814453125)",Ref
1190,"(521.3394775390625, 393.0674743652344)",Ref
1191,"(527.3192749023438, 393.1460876464844)",Ref
1192,"(532.6190185546875, 392.8515319824219)",Ref
1194,"(543.929443359375, 392.4628601074219)",Ref
1195,"(549.2841796875, 392.28558349609375)",Ref
1196,"(555.843994140625, 392.3522033691406)",Ref
1197,"(561.1337890625, 391.9957580566406)",Ref
1198,"(565.5, 392.0)",Ref
1199,"(572.1583862304688, 392.0616149902344)",Ref
1200,"(578.0, 391.796875)",Ref
1201,"(582.634521484375, 391.5561218261719)",Ref
1202,"(588.0748291015625, 391.0)",Ref
1203,"(592.3226928710938, 390.5)",Ref
1204,"(599.07470703125, 390.2441101074219)",Ref
1205,"(604.7154541015625, 389.95941162109375)",Ref
1206,"(609.9896240234375, 390.0517578125)",Ref
1207,"(615.5888671875, 389.9228515625)",Ref
1208,"(619.8134155273438, 390.0610046386719)",Ref
1209,"(627.070556640625, 390.4628601074219)",Ref
1210,"(632.7822875976562, 390.8415222167969)",Ref
1211,"(638.3389892578125, 390.8499450683594)",Ref
1212,"(644.0, 390.5)",Ref
1215,"(660.1923217773438, 390.3743591308594)",Ref
1216,"(666.43017578125, 390.3951721191406)",Ref
1217,"(671.5582275390625, 390.2505798339844)",Ref
1218,"(675.6773071289062, 390.5)",Ref
1219,"(682.2421264648438, 390.5323181152344)",Ref
1220,"(687.7569580078125, 389.9741516113281)",Ref
1221,"(693.4985961914062, 389.2053527832031)",Ref
1222,"(698.9017944335938, 388.64617919921875)",Ref
1223,"(703.1044921875, 388.7725524902344)",Ref
1224,"(710.0, 388.203125)",Ref
1225,"(715.9374389648438, 387.95880126953125)",Ref
1226,"(721.28369140625, 387.615966796875)",Ref
