world_index,gaze_timestamp,gaze,marker,marker_type
4349,8828.18233848193,"(293.2658629017696, 482.013514614529)","(304.63818359375, 505.4139404296875)",Ref
4350,8828.19246616693,"(294.8445015615112, 482.8589998331056)","(304.40838623046875, 505.12799072265625)",Ref
4350,8828.20578651893,"(293.4651030208155, 483.0879470047471)","(304.40838623046875, 505.12799072265625)",Ref
4350,8828.21489685193,"(290.8340120584726, 482.1500674535806)","(304.40838623046875, 505.12799072265625)",Ref
4350,8828.225660388931,"(292.52587481964554, 481.17812741536875)","(304.40838623046875, 505.12799072265625)",Ref
4351,8828.23905772293,"(293.7701705715497, 480.98171996575417)","(304.3814392089844, 505.0)",Ref
4351,8828.24851403693,"(292.59836783723966, 482.7275860879386)","(304.3814392089844, 505.0)",Ref
4352,8828.25953798193,"(291.6981725922619, 481.28619722062797)","(304.5521545410156, 504.796875)",Ref
4352,8828.27424979693,"(292.5342211245083, 482.4098211817341)","(304.5521545410156, 504.796875)",Ref
4352,8828.28223259293,"(291.96680433022385, 480.75722835965803)","(304.5521545410156, 504.796875)",Ref
4353,8828.29679090793,"(293.3560600867567, 481.4042960061813)","(304.140869140625, 504.820068359375)",Ref
4353,8828.30721405593,"(289.8821724331278, 482.230954694769)","(304.140869140625, 504.820068359375)",Ref
4353,8828.31909194493,"(291.4338333970619, 481.1902503079198)","(304.140869140625, 504.820068359375)",Ref
4354,8828.33091575893,"(293.6406773067957, 481.5362382701128)","(304.281005859375, 504.8115539550781)",Ref
4354,8828.34051962993,"(303.22955846814546, 480.63278658539775)","(304.281005859375, 504.8115539550781)",Ref
4355,8828.36451777793,"(298.04886972030215, 480.0397403572437)","(304.6755065917969, 504.8067321777344)",Ref
4355,8828.37331296293,"(299.7466057120288, 480.79433717414787)","(304.6755065917969, 504.8067321777344)",Ref
4355,8828.389509277931,"(300.3502038562041, 479.19462505660846)","(304.6755065917969, 504.8067321777344)",Ref
